id	cul	Gender	Age	Region	REL	NAT_1	NAT_2	NAT_3	NAT_4	LNG_1	LNG_2	EDU	RHAB	FNL1	FNL2	AN	AC	RATE_WITCH	MR	SBS	AM	IRI_EC	IRI_PT	EXP
85	EN1074	EN	1	40	Midwest	Methodist 	Usa	Usa	Deli manager 	Mo	Yes		University / College / Undergraduate School (Bachelor Degree)	10	NA	NA	3.875	5.45454545454545	1	6.92307692307692	3.83333333333333	3.93333333333333	6.85714285714286	6.14285714285714	3
86	EN1075	EN	1	58	Midwest	christian	United States	United States	homemaker	MO	Yes		Junior High School / Middle School	2	NA	NA	2.75	3.27272727272727	0	6.30769230769231	4	2.93333333333333	5.14285714285714	5	1.33333333333333
87	EN1076	EN	1	22	Midwest	Christian 	USA	USA 	Cashier 	Illinois 	Yes		University / College / Undergraduate School (Bachelor Degree)	7	NA	NA	4.25	3.90909090909091	0	7	4	2.26666666666667	4.85714285714286	4	3
88	EN1077	EN	1	60	Midwest	Roman Catholic	United States	United States	Homemaker	IA	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	4	NA	NA	2.625	3.81818181818182	1	6.23076923076923	4	2.4	6.85714285714286	6	2.66666666666667
89	EN1078	EN	0	56	West	no thank you	United States	United States	disabled/unemployed	AZ	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	0	NA	NA	1.75	3.27272727272727	0	5.61538461538461	-2.83333333333333	2.4	5.57142857142857	6.28571428571429	1.66666666666667
90	EN1079	EN	0	35	West	Christian	United States	United States	Senior Manager	California	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	10	NA	NA	4.125	5.63636363636364	1	5.92307692307692	3.33333333333333	6.66666666666667	4.85714285714286	6.14285714285714	4.33333333333333
91	EN108	EN	0	52	Midwest	Catholic	United States	United States	Manager	Michigan	No	Native	University / College / Undergraduate School (Bachelor Degree)	10	NA	NA	3	4.09090909090909	0	5.15384615384615	1.66666666666667	5.4	5.71428571428571	5.14285714285714	2.33333333333333
92	EN1080	EN	0	40	South	christian	USA	USA	FULL TIME EMPLOYEE	GEORGIA	Yes	Native	Graduate University / Professional School (Master's Degree, Doctoral Degree)	7	NA	NA	4.875	5.90909090909091	1	3.84615384615385	2.16666666666667	8	4.57142857142857	4.28571428571429	4
93	EN1081	EN	1	46	South	Christian	United States	United States	none	TN	Yes		University / College / Undergraduate School (Bachelor Degree)	10	NA	NA	3.25	5	1	4.92307692307692	3.5	1.6	5.28571428571429	4.71428571428571	1.33333333333333
94	EN1082	EN	0	20	Midwest	Islam	United state	USA	Student 	US	No	Conversational	University / College / Undergraduate School (Bachelor Degree)	10	NA	NA	3.75	6	1	2.92307692307692	1.83333333333333	6.13333333333333	5.71428571428571	4	2
95	EN1083	EN	0	59	West	Christian	USA	USA	Retired Software Engineer	Utah	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	0	NA	NA	2.375	4.27272727272727	1	5.30769230769231	2.16666666666667	3.13333333333333	4.71428571428571	4.85714285714286	2.33333333333333
96	EN1084	EN	0	59	Midwest	None	USA	USA	Tech	California	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	0	NA	NA	3.875	4.45454545454545	1	3.76923076923077	1.33333333333333	1.66666666666667	5.42857142857143	5	4
97	EN1085	EN	0	22	South	Black Africa American	United State	Mobile,Al 	No	Al	Yes		Junior High School / Middle School	3	NA	NA	2.875	3.81818181818182	0	4.92307692307692	0.5	4.2	4.42857142857143	5.14285714285714	2.66666666666667
98	EN1086	EN	1	60	South	Seventh day adventist	United States	United States	Clerical medical	FL	Yes		Other	5	NA	NA	2.5	2.63636363636364	1	4.15384615384615	4	5.86666666666667	7	7	3.33333333333333
99	EN1087	EN	0	48	West	New age 	United States	USA	n/a	CA	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	0	NA	NA	1	6.45454545454545	1	5.46153846153846	3.33333333333333	0.4	2.71428571428571	5.71428571428571	1.66666666666667
100	EN1088	EN	1	32	South	Baptist	US	US	Unemployed 	NC	Yes		University / College / Undergraduate School (Bachelor Degree)	2	NA	NA	2.125	3.18181818181818	1	4.07692307692308	-0.5	3.73333333333333	3.85714285714286	4.14285714285714	1.33333333333333
101	EN1089	EN	0	34	Midwest	Midwest	American	New York	Bank Manager	New York	Yes	Basic	Graduate University / Professional School (Master's Degree, Doctoral Degree)	10	NA	NA	3.5	4.90909090909091	1	2.69230769230769	1.33333333333333	7.2	3.85714285714286	3.42857142857143	3
102	EN109	EN	0	30	West	Muslim	United state of America 	United state of America 	Accounts Auditor 	California 	Yes	Native	Graduate University / Professional School (Master's Degree, Doctoral Degree)	10	NA	NA	5	5.90909090909091	1	7	4	10	6.14285714285714	4.42857142857143	5
103	EN1090	EN	0	58	South	Baptist	United States	United States	disabled	VA	Yes		Vocational School / Technical College / Communication College (Associate Degree)	10	NA	NA	2.5	4.90909090909091	1	3.92307692307692	4	2.06666666666667	5	4.57142857142857	3
104	EN1091	EN	0	30	West	Luciferian	United States	United States	Disabled	Utah	Yes		Vocational School / Technical College / Communication College (Associate Degree)	2	NA	NA	2.625	3.27272727272727	1	6	1	1.53333333333333	4.71428571428571	5.85714285714286	3
105	EN1092	EN	0	32	Midwest	Christian	USA	USA	Informatics analyst	Illinois	Yes		University / College / Undergraduate School (Bachelor Degree)	10	NA	NA	2.125	6	1	3.76923076923077	4	2.4	6.42857142857143	3.28571428571429	5.33333333333333
106	EN1093	EN	1	35	Midwest	I was raised to be a religious person I do believe in god 	Crawford 	Steelville 	Self employed 	Missouri 	Yes	Native	Vocational School / Technical College / Communication College (Associate Degree)	3	NA	NA	4.75	5.63636363636364	1	6.76923076923077	3.5	3.4	7	7	1
107	EN1094	EN	1	45	South	Baptist	United States	United States	IT manager	SC	Yes		University / College / Undergraduate School (Bachelor Degree)	6	NA	NA	4.25	5.54545454545455	1	5.07692307692308	3.16666666666667	2.06666666666667	6.85714285714286	6.14285714285714	2
108	EN1095	EN	0	31	South	Islam 	USA 	USA	Engineer 	Texas 	No	Conversational	University / College / Undergraduate School (Bachelor Degree)	10	NA	NA	3.375	6.45454545454545	1	5.30769230769231	4	4.73333333333333	5	5.42857142857143	4.66666666666667
