id	cul	Gender	Age	Region	REL	NAT_1	NAT_2	NAT_3	NAT_4	LNG_1	LNG_2	EDU	RHAB	FNL1	FNL2	AN	AC	RATE_WITCH	MR	SBS	AM	IRI_EC	IRI_PT	EXP
26	EN1020	EN	0	43	Midwest	Nonw	United States	United States	Clerk	OK	No	Business	Graduate University / Professional School (Master's Degree, Doctoral Degree)	0	NA	NA	3.875	4	1	7	-0.166666666666667	5	5.14285714285714	4.85714285714286	6.66666666666667
27	EN1021	EN	0	42	Northeast	catholic 	United States	United States	full time employee 	New York	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	10	NA	NA	4.75	6.18181818181818	0	2.15384615384615	2.5	7.13333333333333	5	5	7.66666666666667
28	EN1022	EN	0	47	South	Christian	USA	USA	Analyst	VA	Yes		University / College / Undergraduate School (Bachelor Degree)	10	NA	NA	2.5	3	1	4	4	5.86666666666667	5.14285714285714	5.28571428571429	1.33333333333333
29	EN1023	EN	0	27	South	Muslim 	USA	USA	Concierge	GA	Yes	Native	University / College / Undergraduate School (Bachelor Degree)	5	NA	NA	4.75	1.63636363636364	1	6.84615384615385	3.83333333333333	4.33333333333333	5.42857142857143	3.57142857142857	1.66666666666667
30	EN1024	EN	0	36	South	none	United States 	United States 	Retired	Georgia 	Yes	Native	University / College / Undergraduate School (Bachelor Degree)	0	NA	NA	5	4	1	4.76923076923077	0	5	4.14285714285714	4	1
31	EN1025	EN	0	29	West	Non denominal	United states	United states	Unemployed	California	Yes		Vocational School / Technical College / Communication College (Associate Degree)	10	NA	NA	2.5	4.45454545454545	1	5.84615384615385	4	3.26666666666667	5.57142857142857	5.14285714285714	3.33333333333333
32	EN1026	EN	0	52	South	christian	us	us	disabled	tx	Yes		Junior High School / Middle School	10	NA	NA	2	5.18181818181818	1	3.07692307692308	4	2.66666666666667	6.42857142857143	6.42857142857143	3.33333333333333
33	EN1027	EN	1	23	South	Christian	USA	USA	Customer service	NC	Yes		University / College / Undergraduate School (Bachelor Degree)	4	NA	NA	4.5	2.45454545454545	1	6.69230769230769	2.83333333333333	2.86666666666667	6.85714285714286	5.71428571428571	4
34	EN1028	EN	0	56	Midwest	Lutheran	USA	USA	teacher	IA	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	10	NA	NA	3	3.63636363636364	0	6.84615384615385	4	3.6	5.57142857142857	5.14285714285714	8
35	EN1029	EN	0	40	South	Not 	Miami 	Miami	Marketing 	Florida 	Yes	Native	Graduate University / Professional School (Master's Degree, Doctoral Degree)	0	NA	NA	4.5	4.81818181818182	1	6.53846153846154	3.16666666666667	4.93333333333333	7	6.85714285714286	7.66666666666667
36	EN103	EN	0	50	Northeast	None	United States	United States	Server	Maryland	Yes		Other	0	NA	NA	1	2.09090909090909	1	7	-4	3.33333333333333	5.71428571428571	5.71428571428571	2
37	EN1030	EN	1	31	West	Christian 	Us	Us	None 	Ny	Yes		University / College / Undergraduate School (Bachelor Degree)	10	NA	NA	3.875	4.63636363636364	1	4.53846153846154	1.5	3.13333333333333	6.57142857142857	5	1.33333333333333
38	EN1031	EN	1	26	Midwest	Athiest	United states	United states	Pet care provider manager 	Minnesota	Yes		University / College / Undergraduate School (Bachelor Degree)	0	NA	NA	3.25	3.72727272727273	1	6.84615384615385	-0.166666666666667	2	4.85714285714286	4.28571428571429	2.66666666666667
39	EN1032	EN	1	53	Northeast	Baptist 	usa	Usa	retirement 	ny	Yes		Vocational School / Technical College / Communication College (Associate Degree)	0	NA	NA	1.625	3.72727272727273	1	4.61538461538461	1	0.533333333333333	4.28571428571429	5.85714285714286	1
40	EN1033	EN	1	39	Northeast	Hindu	Usa	Usa	It	Ct	No	Native	Graduate University / Professional School (Master's Degree, Doctoral Degree)	1	NA	NA	3.5	4.81818181818182	1	6.46153846153846	1.83333333333333	3.4	6.28571428571429	4.57142857142857	2
41	EN1034	EN	1	40	Northeast	None	US	US	SAHM	NY	Yes		Junior High School / Middle School	0	NA	NA	2.75	4.27272727272727	1	6.46153846153846	2.66666666666667	3.66666666666667	6.42857142857143	5	3
42	EN1035	EN	1	40	South	Christian 	Usa	Usa	Hospitality 	Ky	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	0	NA	NA	4.75	5.18181818181818	1	6.15384615384615	4	7.4	6.14285714285714	5	2.33333333333333
43	EN1036	EN	1	31	West	Pagan	United States	United States	Veterinary technician	Washington	Yes		Vocational School / Technical College / Communication College (Associate Degree)	0	NA	NA	3.375	1.90909090909091	0	7	1.83333333333333	3.33333333333333	6.57142857142857	6	4.33333333333333
44	EN1037	EN	1	24	West	Indecisive 	United States 	United States 	In between 	California	Yes		Vocational School / Technical College / Communication College (Associate Degree)	9	NA	NA	3.5	3.09090909090909	1	5.15384615384615	0.666666666666667	1.86666666666667	6	5.14285714285714	3
45	EN1038	EN	1	41	West	Christian	USA	USA	School Outreach Worker	CA	Yes		Vocational School / Technical College / Communication College (Associate Degree)	2	NA	NA	3.375	4.63636363636364	1	4	4	0.666666666666667	5	5	3
46	EN1039	EN	1	27	Northeast	Christan	USA	USA	CNA	KY	Yes		Vocational School / Technical College / Communication College (Associate Degree)	4	NA	NA	3.75	3.72727272727273	1	5.69230769230769	4	2.06666666666667	6.85714285714286	4.71428571428571	1.33333333333333
47	EN104	EN	1	27	South	Cathujloc	United stated	Florida	Call center 	Florida	Yes	Basic	University / College / Undergraduate School (Bachelor Degree)	7	NA	NA	5	5.72727272727273	1	1.07692307692308	4	9.93333333333333	4.42857142857143	5.28571428571429	7.66666666666667
48	EN1040	EN	0	36	Midwest	Christian	U.S	U.S	Self employed 	MI	Yes		Vocational School / Technical College / Communication College (Associate Degree)	3	NA	NA	2.5	3.18181818181818	0	5	4	4.8	5.85714285714286	5.14285714285714	2.33333333333333
49	EN1041	EN	0	58	Northeast	Catholic	United States	United States	Project Manager	MA	Yes		University / College / Undergraduate School (Bachelor Degree)	0	NA	NA	2	3.18181818181818	1	1.76923076923077	2.66666666666667	4.53333333333333	5.28571428571429	5.71428571428571	1.66666666666667
50	EN1042	EN	1	36	Northeast	Catholic	Usa	United states	Disabled	Fl	Yes		Vocational School / Technical College / Communication College (Associate Degree)	4	NA	NA	3.625	2.45454545454545	1	4.46153846153846	3.16666666666667	7.06666666666667	4.57142857142857	4.28571428571429	2
51	EN1043	EN	1	40	Northeast	Christianity	USA	USA	Employee	New York	Yes		University / College / Undergraduate School (Bachelor Degree)	10	NA	NA	3.625	4.09090909090909	1	5.15384615384615	3.33333333333333	4.6	6.57142857142857	6.71428571428571	4.33333333333333
